,UserID,Date,Change Description,Reason for change
145,yeabok,2021-11-18 00:00:00,"Added newer ""domain"" commands without the ""-"" to L2 and L3 tabs for newer code levels",
146,yeabok,2022-01-18 00:00:00,Added summary entry for SNMP RO subnet 158.139.2.192/26 and added entry for SNMP RW 158.139.2.218,
147,yeabok,2022-03-14 00:00:00,Changed Prime Secondary from 158.139.170.26 to hocprimewired IP 158.139.2.218. Also changed snmp-server 158.139.170.26 to 158.139.2.218,
148,yeabok,2022-03-22 00:00:00,Changed crypto key size from 1024 to 2048,
149,yeabok,2022-05-09 00:00:00,"Added trailing ""60"" to ""clock summer-time"" command in NxOS config tab for compliance checks (60 is default and shows up in running-config)",
150,yeabok,2022-07-05 00:00:00,Added lots of notes and a diagram to the NAC tab. Added a few commands to NAC tab to modernize NAC template.,
151,yeabok,2022-08-17 00:00:00,Changed enable pwds in Lookup Table,
152,yeabok,2022-09-20 00:00:00,Updated AP servers on Lookup Table per AP TCOM request,
153,yeabok,2022-10-04 00:00:00,Added interface config for Mist AP's to the Interfaces tab,
154,yeabok,2022-10-17 00:00:00,Updated ACL 66 and Netflow row on Lookup Table per Dan Golden (new Kentik servers),
155,yeabok,2022-11-02 00:00:00,"Added ACL 88 (Deny any) to Switch, Router, and NXOS tabs",
